prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,keyword_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
NHRG01,WGS,,MAM,Equus quagga burchellii,PRJNA382745,SAMN06718192,WGS; UNVERIFIED; UNVERIFIED_CONTAMINANT,isolate: Eren takhi,tissue_type: blood,2355839912,108113,0,No,5622,0,2383195643,No,MU658880-MU664501,,2022-12-14T00:00:00Z,2022-12-09T00:00:00Z
AGTT01,WGS,,MAM,Pantholops hodgsonii,PRJNA72465,SAMN00990743,WGS; UNVERIFIED; UNVERIFIED_CONTAMINANT,,,2507969940,298127,0,No,11412,0,2692873610,No,KE108830-KE120241,,2019-07-29T00:00:00Z,2013-05-21T00:00:00Z
LVEH01,WGS,,MAM,Rhinolophus sinicus,PRJNA294852,SAMN04038064,WGS; UNVERIFIED; UNVERIFIED_CONTAMINANT,isolate: Zhonghua_01,tissue_type: muscle,2073344508,63439,0,No,0,0,0,No,,,2019-04-04T00:00:00Z,2016-12-04T00:00:00Z
MWRG01,WGS,,INV,Trichonephila clavipes,PRJNA356433,SAMN06132062,WGS; UNVERIFIED; UNVERIFIED_CONTAMINANT,isolate: Nep-004,"dev_stage: mature,tissue_type: whole body",2439301466,180236,22738,Yes,0,0,0,No,,,2020-08-11T00:00:00Z,2017-04-20T00:00:00Z
PVMI01,WGS,,INV,Aulacorthum solani,PRJNA432320,SAMN08443787,WGS; UNVERIFIED; UNVERIFIED_ORGANISM,isolate: AS-CPRI-2016,"dev_stage: nymph,tissue_type: whole body",316098029,89214,0,No,0,0,0,No,,,2023-02-22T00:00:00Z,2019-09-18T00:00:00Z
PDMG01,WGS,,PRI,Piliocolobus tephrosceles,PRJNA413051,SAMN07735529,WGS,isolate: RC106,isolation_source: whole blood,2922819259,47644,0,No,0,0,0,No,,,2018-09-11T00:00:00Z,2017-11-16T00:00:00Z
PDMG02,WGS,,PRI,Piliocolobus tephrosceles,PRJNA413051,SAMN07735529,WGS,isolate: RC106,isolation_source: whole blood,3038007327,47449,0,No,0,0,0,No,,,2018-09-11T00:00:00Z,2018-09-11T00:00:00Z
PDEX01,WGS,,INV,Melanaphis sacchari,PRJNA413550,SAMN07757676,WGS,strain: LSU,"dev_stage: adult,host: Sorghum bicolor,tissue_type: Whole body",296356435,1246,0,No,1,0,14788,No,CM008877-CM008877,,2017-12-01T00:00:00Z,2017-12-01T00:00:00Z
PDHV01,WGS,,VRT,Crotalus viridis viridis,PRJNA413201,SAMN07738522,WGS,,"dev_stage: adult,tissue_type: muscle or liver",1335528708,47782,0,No,0,0,0,No,,,2018-08-17T00:00:00Z,2018-08-16T00:00:00Z
PXJM01,WGS,,INV,Diabrotica virgifera virgifera,PRJNA432972,SAMN08631342,WGS,isolate: Ped12-6-A-3,"dev_stage: adult,isolation_source: laboratory colony,tissue_type: whole insect",1850759093,579519,0,No,84005,0,2246113664,No,KZ688668-KZ772672,,2018-04-10T00:00:00Z,2018-03-20T00:00:00Z
