prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,keyword_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JAFISF01,WGS,,PLN,Boeremia foveata,PRJNA704467,SAMN18042771,WGS; UNVERIFIED; UNVERIFIED_ORGANISM,strain: CBS 200.37,host: Solanum tuberosum,34486188,2079,0,No,0,0,0,No,,,2022-10-27T00:00:00Z,2022-03-14T00:00:00Z
SWCP01,WGS,,PLN,Fusarium sp. QHM,PRJNA533880,SAMN11470550,WGS; UNVERIFIED; UNVERIFIED_ORGANISM,strain: QHM,isolation_source: coal mine water,42105543,435,0,No,0,0,0,No,,,2021-05-25T00:00:00Z,2020-07-16T00:00:00Z
PDWZ01,WGS,,PLN,Alternaria gaisen,PRJNA360212,SAMN06205220,WGS,strain: FERA 650,"host: apple,isolation_source: infected leaves",33589717,23,12847,Yes,0,0,0,No,,,2019-07-02T00:00:00Z,2019-02-11T00:00:00Z
PEKT01,WGS,,PLN,[Candida] auris,PRJNA328792,SAMN05379624,WGS,strain: B8441,"host: Homo sapiens,isolation_source: blood",12468897,20,0,No,0,0,0,No,,,2017-11-07T00:00:00Z,2017-11-07T00:00:00Z
OVTS01,WGS,,PLN,Fusarium tricinctum,PRJEB26420,SAMEA4609739,WGS,,,42820551,25,0,No,0,0,0,No,,,2018-05-20T00:00:00Z,2018-05-20T00:00:00Z
PUXE01,WGS,,PLN,Penicillium sp. SPG-F1,PRJNA435890,SAMN08606007,WGS,strain: SPG-F1,isolation_source: sediment,32063379,457,0,No,0,0,0,No,,,2018-11-20T00:00:00Z,2018-11-20T00:00:00Z
PVQB01,WGS,,PLN,Fusarium beomiforme,PRJNA416189,SAMN07943531,WGS,strain: NRRL 25174,isolation_source: soil,46522276,1869,0,No,0,0,0,No,,,2018-03-07T00:00:00Z,2018-03-07T00:00:00Z
PUDQ01,WGS,,PLN,Trametes villosa,PRJNA435407,SAMN08579176,WGS,isolate: CCMB561,"host: unknown Angiosperm tree,isolation_source: (Decaying) Wood",57987392,10327,0,No,0,0,0,No,,,2018-02-28T00:00:00Z,2018-02-28T00:00:00Z
PUHX01,WGS,,PLN,Penicillium sp. SPG-F15,PRJNA435885,SAMN08605975,WGS,strain: SPG-F15,isolation_source: sediment,36133296,348,0,No,0,0,0,No,,,2018-11-20T00:00:00Z,2018-11-20T00:00:00Z
LSBJ01,WGS,,PLN,Pochonia chlamydosporia 170,PRJNA310157,SAMN02296946,WGS,isolate: 170,,43842403,114,0,No,0,0,0,No,,,2016-08-15T00:00:00Z,2016-05-27T00:00:00Z
LSNF01,WGS,,PLN,Hanseniaspora vineae,PRJNA311682,SAMN04487210,WGS,strain: T02/05AF,,11662932,741,0,No,0,0,0,No,,,2018-11-05T00:00:00Z,2017-05-16T00:00:00Z
LUEZ01,WGS,,PLN,Hypsizygus marmoreus,PRJNA312409,SAMN04497827,WGS,strain: 51987-8,,41626055,340,15561,Yes,0,0,0,No,,,2018-09-01T00:00:00Z,2016-03-31T00:00:00Z
LUFC01,WGS,,PLN,Fusarium agapanthi,PRJNA312368,SAMN04534733,WGS,strain: NRRL 31653,host: Agapanthus praecox,41308709,2401,0,No,0,0,0,No,,,2017-10-31T00:00:00Z,2016-06-02T00:00:00Z
LWDD01,WGS,,PLN,Tilletia caries,PRJNA317434,SAMN04607374,WGS,strain: DAOMC 238032,"host: Triticum,tissue_type: cultured mycelium derived from germinated spores",29540861,2888,10204,Yes,0,0,0,No,,,2019-09-26T00:00:00Z,2016-05-16T00:00:00Z
LWDE01,WGS,,PLN,Tilletia controversa,PRJNA317433,SAMN04607373,WGS,strain: DAOM 236426,"host: Triticum,tissue_type: cultured mycelium derived from germinated spores",28841097,3586,9860,Yes,0,0,0,No,,,2016-05-16T00:00:00Z,2016-05-16T00:00:00Z
LWDF01,WGS,,PLN,Tilletia indica,PRJNA314779,SAMN04543134,WGS,strain: DAOM 236416,"host: Triticum,tissue_type: cultured mycelium derived from germinated spores",30384772,1666,9548,Yes,0,0,0,No,,,2016-05-16T00:00:00Z,2016-05-16T00:00:00Z
LWDG01,WGS,,PLN,Tilletia walkeri,PRJNA314785,SAMN04543208,WGS,strain: DAOM 236422,"host: Lolium,tissue_type: cultured mycelium derived from germinated spores",24344748,972,7970,Yes,0,0,0,No,,,2016-05-16T00:00:00Z,2016-05-16T00:00:00Z
MASO01,WGS,,PLN,Colletotrichum lindemuthianum,PRJNA325493,SAMN05235603,WGS,strain: 83.501,isolation_source: Phaseolus vulgaris,67673733,9755,0,No,0,0,0,No,,,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z
MASP01,WGS,,PLN,Colletotrichum lindemuthianum,PRJNA325493,SAMN05235602,WGS,strain: 89 A2 2-3,isolation_source: Phaseolus vulgaris,71245391,9154,0,No,0,0,0,No,,,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z
MAVT01,WGS,,PLN,Diaporthe helianthi,PRJNA327798,SAMN05357628,WGS,strain: 7/96,host: Helianthus sp.,46487794,13382,14220,Yes,0,0,0,No,,,2016-08-10T00:00:00Z,2016-08-10T00:00:00Z
MAYC01,WGS,,PLN,Pleurotus ostreatus,PRJNA327267,SAMN05327826,WGS,strain: CCMSSC00389,,35820573,2529,0,No,0,0,0,No,,,2017-01-19T00:00:00Z,2017-01-19T00:00:00Z
MBFL01,WGS,,PLN,Aspergillus hancockii,PRJNA328536,SAMN05375032,WGS,strain: FRR 3425,isolation_source: soil,39903795,2628,0,No,0,0,0,No,,,2016-07-29T00:00:00Z,2016-07-29T00:00:00Z
MBSD01,WGS,,PLN,Magnaporthe oryzae,PRJNA330763,SAMN05425585,WGS,strain: RMg-Dl,"host: Oryza sativa,isolation_source: Leaf sample affected by blast disease",40703599,2527,0,No,0,0,0,No,,,2016-10-25T00:00:00Z,2016-10-25T00:00:00Z
MBSD02,WGS,,PLN,Pyricularia oryzae,PRJNA330763,SAMN05425585,WGS,strain: RMg-Dl,"host: Oryza sativa,isolation_source: Leaf sample affected by blast disease",34815271,996,0,No,0,0,0,No,,,2016-12-12T00:00:00Z,2016-12-12T00:00:00Z
MBUF01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190514,WGS,strain: wild003,isolation_source: Wild,12081389,157,0,No,16,0,11818184,No,CM004687-CM004702,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUJ01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190510,WGS,strain: wine018,isolation_source: Wine,12081389,157,0,No,16,0,11756620,No,CM004783-CM004798,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUK01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190509,WGS,strain: wine017,isolation_source: Wine,12081389,157,0,No,16,0,11831070,No,CM004815-CM004830,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUL01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190508,WGS,strain: wine016,isolation_source: Wine,12081389,157,0,No,16,0,11953402,No,CM004831-CM004846,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUM01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190507,WGS,strain: wine015,isolation_source: Wine,12081389,157,0,No,16,0,11736967,No,CM004847-CM004862,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUN01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190506,WGS,strain: wine014,isolation_source: Wine,12081389,157,0,No,16,0,11744119,No,CM004863-CM004878,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUO01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190505,WGS,strain: wine013,isolation_source: Wine,12081389,157,0,No,16,0,11890702,No,CM004879-CM004894,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUP01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190504,WGS,strain: wine012,isolation_source: Wine,12081389,157,0,No,16,0,11787363,No,CM004895-CM004910,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUQ01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190503,WGS,strain: wine011,isolation_source: Wine,12081389,157,0,No,16,0,11950157,No,CM004911-CM004926,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUR01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190502,WGS,strain: wine010,isolation_source: Wine,12081389,157,0,No,16,0,11949576,No,CM004927-CM004942,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUS01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190501,WGS,strain: wine009,isolation_source: Wine,12081389,157,0,No,16,0,11999198,No,CM004943-CM004958,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUT01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190500,WGS,strain: wine008,isolation_source: Wine,12081389,157,0,No,16,0,11610434,No,CM004959-CM004974,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUU01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190499,WGS,strain: wine007,isolation_source: Wine,12081389,157,0,No,16,0,11745544,No,CM004975-CM004990,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUV01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190498,WGS,strain: wine006,isolation_source: Wine,12081389,157,0,No,16,0,11839268,No,CM004991-CM005006,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUW01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190497,WGS,strain: wine005,isolation_source: Wine,12081389,157,0,No,16,0,11705970,No,CM005007-CM005022,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUX01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190496,WGS,strain: wine004,isolation_source: Wine,12081389,157,0,No,16,0,11815020,No,CM005023-CM005038,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUY01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190495,WGS,strain: wine003,isolation_source: Wine,12081389,157,0,No,16,0,12011710,No,CM005039-CM005054,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBUZ01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190494,WGS,strain: wine002,isolation_source: Wine,12081389,157,0,No,16,0,11899181,No,CM005055-CM005070,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBVA01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190493,WGS,strain: wine001,isolation_source: Wine,12081389,157,0,No,16,0,11830120,No,CM005071-CM005086,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
MBVL01,WGS,,PLN,Saccharomyces cerevisiae,PRJNA323691,SAMN05190482,WGS,strain: spirits001,isolation_source: Spirits,12081389,157,0,No,16,0,12084153,No,CM005247-CM005262,,2016-09-21T00:00:00Z,2016-09-12T00:00:00Z
LYON01,WGS,,PLN,Batrachochytrium salamandrivorans,PRJNA311566,SAMN04485880,WGS,strain: BS,host: Salamandra salamandra,32636440,5358,12471,Yes,0,0,0,No,,,2017-02-24T00:00:00Z,2017-02-24T00:00:00Z
LYUB01,WGS,,PLN,Clavispora lusitaniae,PRJNA323545,SAMN05180929,WGS,strain: CBS 6936,isolation_source: citrus peel juice,11879173,2075,0,No,0,0,0,No,,,2016-06-21T00:00:00Z,2016-06-21T00:00:00Z
MABQ01,WGS,,PLN,Fusarium oxysporum f. sp. radicis-cucumerinum,PRJNA306247,SAMN04348764,WGS,strain: Forc016,,50053404,843,0,No,0,0,0,No,,,2016-08-10T00:00:00Z,2016-08-10T00:00:00Z
MALW01,WGS,,PLN,Fusarium oxysporum f. sp. lycopersici 4287,PRJNA306247,SAMN04348901,WGS,strain: 4287,,51024763,1955,0,No,0,0,0,No,,,2016-08-10T00:00:00Z,2016-08-10T00:00:00Z
